dtime,open,high,low,close
2019-12-11 00:00:00+00:00,108.772,108.774,108.767,108.774
2019-12-11 00:01:00+00:00,108.776,108.776,108.768,108.768
2019-12-11 00:02:00+00:00,108.766,108.768,108.761,108.768
2019-12-11 00:03:00+00:00,108.772,108.778,108.769,108.776
2019-12-11 00:04:00+00:00,108.778,108.796,108.778,108.787
2019-12-11 00:05:00+00:00,108.785,108.787,108.785,108.785
2019-12-11 00:06:00+00:00,108.787,108.787,108.772,108.774
2019-12-11 00:07:00+00:00,108.777,108.786,108.777,108.786
2019-12-11 00:08:00+00:00,108.784,108.784,108.777,108.777
2019-12-11 00:09:00+00:00,108.780,108.786,108.776,108.779
2019-12-11 00:10:00+00:00,108.781,108.784,108.776,108.784
2019-12-11 00:11:00+00:00,108.782,108.782,108.774,108.774
2019-12-11 00:12:00+00:00,108.778,108.781,108.772,108.781
2019-12-11 00:13:00+00:00,108.784,108.784,108.774,108.778
2019-12-11 00:14:00+00:00,108.781,108.781,108.781,108.781
2019-12-11 00:15:00+00:00,108.779,108.782,108.762,108.766
2019-12-11 00:16:00+00:00,108.769,108.776,108.769,108.774
2019-12-11 00:17:00+00:00,108.776,108.781,108.776,108.779
2019-12-11 00:18:00+00:00,108.776,108.776,108.774,108.774
2019-12-11 00:19:00+00:00,108.776,108.781,108.776,108.779
2019-12-11 00:20:00+00:00,108.776,108.779,108.774,108.774
2019-12-11 00:21:00+00:00,108.776,108.776,108.776,108.776
2019-12-11 00:22:00+00:00,108.774,108.774,108.770,108.772
2019-12-11 00:23:00+00:00,108.770,108.774,108.767,108.774
2019-12-11 00:24:00+00:00,108.776,108.776,108.772,108.772
2019-12-11 00:25:00+00:00,108.770,108.770,108.767,108.767
2019-12-11 00:26:00+00:00,108.764,108.765,108.762,108.765
2019-12-11 00:27:00+00:00,108.762,108.766,108.762,108.766
2019-12-11 00:28:00+00:00,108.764,108.764,108.761,108.761
2019-12-11 00:29:00+00:00,108.758,108.758,108.752,108.756
2019-12-11 00:30:00+00:00,108.758,108.760,108.758,108.758
2019-12-11 00:31:00+00:00,108.756,108.758,108.756,108.758
2019-12-11 00:32:00+00:00,108.760,108.760,108.758,108.758
2019-12-11 00:33:00+00:00,108.756,108.756,108.751,108.754
2019-12-11 00:34:00+00:00,108.751,108.751,108.738,108.740
2019-12-11 00:35:00+00:00,108.738,108.745,108.735,108.745
2019-12-11 00:36:00+00:00,108.743,108.750,108.743,108.750
2019-12-11 00:37:00+00:00,108.748,108.748,108.743,108.748
2019-12-11 00:38:00+00:00,108.750,108.750,108.738,108.738
2019-12-11 00:39:00+00:00,108.736,108.736,108.667,108.685
2019-12-11 00:40:00+00:00,108.688,108.710,108.687,108.710
2019-12-11 00:41:00+00:00,108.707,108.711,108.698,108.708
2019-12-11 00:42:00+00:00,108.706,108.716,108.706,108.716
2019-12-11 00:43:00+00:00,108.718,108.732,108.718,108.728
2019-12-11 00:44:00+00:00,108.730,108.730,108.726,108.728
2019-12-11 00:45:00+00:00,108.730,108.730,108.720,108.728
2019-12-11 00:46:00+00:00,108.731,108.733,108.731,108.733
2019-12-11 00:47:00+00:00,108.736,108.743,108.736,108.738
2019-12-11 00:48:00+00:00,108.741,108.744,108.740,108.740
2019-12-11 00:49:00+00:00,108.738,108.741,108.738,108.738
2019-12-11 00:50:00+00:00,108.741,108.744,108.740,108.742
2019-12-11 00:51:00+00:00,108.740,108.742,108.738,108.740
